idno,stflife,gndr,cntry
18147,6,2,BG
18151,8,1,BG
18171,4,2,BG
18176,8,1,BG
18180,5,1,BG
18181,8,2,BG
18184,5,1,BG
18185,6,1,BG
18190,0,2,BG
18217,9,1,BG
18223,7,1,BG
18225,8,1,BG
18228,10,1,BG
18231,6,1,BG
18237,10,1,BG
18239,6,2,BG
18245,7,2,BG
18251,8,2,BG
18255,8,2,BG
18273,7,1,BG
18278,3,1,BG
18290,5,1,BG
18292,5,2,BG
18296,9,2,BG
18298,7,1,BG
18332,7,1,BG
18339,10,2,BG
18342,7,2,BG
18364,4,1,BG
18368,5,2,BG
18370,10,1,BG
18374,5,2,BG
18377,3,1,BG
18379,3,2,BG
18381,7,2,BG
18394,8,1,BG
18404,0,2,BG
18408,3,2,BG
18418,5,1,BG
18429,8,1,BG
18430,10,2,BG
18443,4,2,BG
18448,10,2,BG
18450,5,1,BG
18463,5,2,BG
18467,8,2,BG
18469,10,1,BG
18475,8,1,BG
18482,9,2,BG
18485,3,2,BG
18489,6,2,BG
18498,6,1,BG
18500,6,2,BG
18508,8,2,BG
18515,5,2,BG
18521,8,1,BG
18542,8,2,BG
18543,9,1,BG
18546,7,1,BG
18551,9,1,BG
18554,1,2,BG
18568,8,2,BG
18569,8,2,BG
18575,5,2,BG
18604,8,2,BG
18606,0,1,BG
18612,7,1,BG
18619,5,2,BG
18624,9,1,BG
18630,5,2,BG
18631,1,2,BG
18635,6,2,BG
18646,0,2,BG
18649,8,1,BG
18650,5,2,BG
18669,9,2,BG
18673,10,1,BG
18674,7,2,BG
18678,7,1,BG
18687,7,2,BG
18693,6,1,BG
18694,7,2,BG
18695,7,1,BG
18704,5,2,BG
18705,1,2,BG
18707,4,1,BG
18711,5,2,BG
18717,10,2,BG
18718,6,2,BG
18723,4,2,BG
18724,8,1,BG
18730,9,2,BG
18739,5,2,BG
18748,3,1,BG
18749,6,2,BG
18753,7,1,BG
18794,5,2,BG
18799,7,2,BG
18810,7,2,BG
18812,1,2,BG
18815,5,2,BG
18818,8,2,BG
18825,8,1,BG
18830,7,1,BG
18832,8,2,BG
18833,4,1,BG
18835,3,2,BG
18837,7,1,BG
18844,5,2,BG
18851,5,2,BG
18852,5,2,BG
18874,9,1,BG
18879,2,1,BG
